scheduler,cpu_config,num_vms,avg_waiting_time,avg_turnaround_time,avg_response_time,cpu_utilization,throughput,deadline_misses,deadline_miss_rate,fairness_jain_index,estimated_energy,context_switches,estimated_scheduling_overhead,total_time,workload_type,seed
Contextual Bandit RL,ARM-like,10,182.5642,216.7325,33.3454,0.9975,0.02919,9,0.9,0.3433,649.196,50,2.5,342.542,bursty,3
Proposed Hybrid,ARM-like,10,147.6666,181.8348,43.8431,0.9975,0.02919,9,0.9,0.2845,649.196,61,3.05,342.542,bursty,3
PRR,ARM-like,10,120.3367,153.6955,109.9249,0.9725,0.02915,8,0.8,0.5792,633.818,32,1.6,343.018,bursty,4
PRM,ARM-like,10,140.0802,173.4391,140.0802,0.9725,0.02915,7,0.7,0.1224,633.818,9,0.45,343.018,bursty,4
Contextual Bandit RL,ARM-like,10,189.7414,223.1002,55.4132,0.9725,0.02915,9,0.9,0.2698,633.818,60,3.0,343.018,bursty,4
Proposed Hybrid,ARM-like,10,168.6202,201.9791,44.0332,0.9725,0.02915,9,0.9,0.1707,633.818,54,2.7,343.018,bursty,4
PRR,ARM-like,10,122.9009,155.2609,101.1951,0.9757,0.03015,8,0.8,0.2686,614.84,25,1.25,331.65,bursty,5
PRM,ARM-like,10,96.7421,129.1021,90.9198,0.9757,0.03015,7,0.7,0.3203,614.84,11,0.55,331.65,bursty,5
Contextual Bandit RL,ARM-like,10,158.8562,191.2162,21.4939,0.9757,0.03015,9,0.9,0.152,614.84,60,3.0,331.65,bursty,5
Proposed Hybrid,ARM-like,10,172.3904,204.7504,38.6809,0.9757,0.03015,10,1.0,0.3955,614.84,62,3.1,331.65,bursty,5
PRR,ARM-like,10,49.281,70.9586,43.0198,0.9725,0.04486,6,0.6,0.3048,370.688,21,1.05,222.916,mixed,1
PRM,ARM-like,10,59.481,81.1586,54.8422,0.9725,0.04486,6,0.6,0.2979,370.688,10,0.5,222.916,mixed,1
Contextual Bandit RL,ARM-like,10,50.7034,72.381,21.621,0.9725,0.04486,7,0.7,0.2124,370.688,22,1.1,222.916,mixed,1
Proposed Hybrid,ARM-like,10,54.9986,76.6763,35.0928,0.9725,0.04486,6,0.6,0.2988,370.688,19,0.95,222.916,mixed,1
PRR,ARM-like,10,58.9854,75.9148,55.0619,0.9818,0.05799,8,0.8,0.2506,289.493,15,0.75,172.434,mixed,2
PRM,ARM-like,10,47.7536,64.6831,41.0207,0.9818,0.05799,7,0.7,0.3161,289.493,12,0.6,172.434,mixed,2
Contextual Bandit RL,ARM-like,10,36.0278,52.9572,24.7619,0.9818,0.05799,7,0.7,0.2938,289.493,15,0.75,172.434,mixed,2
